Instrument:,RS41,Measurement End Time:,"06/27/2024, 09:50:32",NCAR RS41 sensor on Strateole 2 Super Pressure Balloons
valid,unix_time,air_temp_degC,humdity_percent,humidity_sensor_temp,pres_mb,module_error,rs41_rh_percent,wv_mixing_ratio_ppmv
1,1719481637,-31.299999999999997,38.54,-26.72,347.74,0,59.09550215554666,767.3124224137673
1,1719481638,-31.209999999999994,38.29,-26.480000000000004,348.22,0,59.50083322363764,778.1608532569653
1,1719481639,-31.060000000000002,37.63,-26.180000000000007,348.84,0,59.24372958319325,784.5433359544072
1,1719481640,-30.980000000000004,37.33,-26.03,349.22,0,59.12706306431481,788.1188494615412
1,1719481641,-30.959999999999994,37.22,-25.959999999999994,349.78,0,59.216200188345425,789.5431210414843
1,1719481642,-30.900000000000006,37.36,-25.909999999999997,350.16,0,59.3700686552701,795.2585756555013
1,1719481643,-30.879999999999995,37.97,-25.959999999999994,350.76,0,59.95227063188896,803.2133656307277
1,1719481644,-30.83,38.36,-25.930000000000007,351.28,0,60.445735071067176,812.4793749428121
1,1719481645,-30.78,38.66,-25.950000000000003,351.72,0,60.52024118050813,816.3288697747083
1,1719481646,-30.709999999999994,39.0,-25.989999999999995,352.32,0,60.42879129447417,819.1275434702012
1,1719481647,-30.64,39.09,-25.939999999999998,352.72,0,60.441647346294104,823.8221407907519
1,1719481648,-30.61,39.33,-25.909999999999997,353.32,0,60.80555613562814,829.7336663323277
1,1719481649,-30.650000000000006,39.61,-26.049999999999997,353.66,0,60.69432644573911,824.2866187535717
1,1719481650,-30.620000000000005,40.59,-26.310000000000002,354.18,0,60.56980015036713,823.7243838572988
1,1719481651,-30.53,42.45,-26.629999999999995,354.72,0,61.00132382243817,835.4266849175519
1,1719481652,-30.459999999999994,43.63,-26.739999999999995,355.24,0,61.66028425219297,848.828226404587
1,1719481653,-30.39,44.65,-26.78,355.86,0,62.45675809909158,864.0059760112848
1,1719481654,-30.370000000000005,45.34,-26.730000000000004,356.18,0,63.59228123371105,880.6012399374408
1,1719481655,-30.299999999999997,46.18,-26.629999999999995,356.84,0,64.93428247894954,903.4960511979931
1,1719481656,-30.230000000000004,46.66,-26.5,357.32,0,65.95521917228943,922.5617015735374
1,1719481657,-30.189999999999998,46.81,-26.379999999999995,357.78,0,66.64326012750496,934.518431850551
1,1719481658,-30.120000000000005,46.84,-26.22,358.4,0,67.21960396528549,947.213428943665
1,1719481659,-30.049999999999997,46.72,-26.08,358.72,0,67.46006025186463,956.0480797799471
1,1719481660,-29.959999999999994,46.5,-25.959999999999994,359.42,0,67.30546622449434,960.1059950314357
1,1719481661,-29.89,46.27,-25.83,359.84,0,67.32233522619063,965.5702881253764
1,1719481662,-29.819999999999993,46.0,-25.72,360.32,0,67.15661555316098,968.2659206656165
1,1719481663,-29.739999999999995,45.75,-25.629999999999995,360.88,0,66.83388403494668,969.3791083567581
1,1719481664,-29.689999999999998,45.61,-25.549999999999997,361.38,0,66.79903981542306,972.0900929972365
1,1719481665,-29.689999999999998,45.68,-25.53,362.0,0,67.02269606403645,973.6759031811018
1,1719481666,-29.680000000000007,45.95,-25.5,362.48,0,67.53855197946118,980.798215297528
1,1719481667,-29.64,46.0,-25.439999999999998,363.06,0,67.72496362013601,985.6329265412992
1,1719481668,-29.569999999999993,45.93,-25.379999999999995,363.6,0,67.5443778469279,988.0151232121935
1,1719481669,-29.489999999999995,45.86,-25.349999999999994,364.22,0,67.1190459541763,987.5013351780581
1,1719481670,-29.39,45.63,-25.209999999999994,364.78,0,67.00083450701013,993.5192183393129
1,1719481671,-29.299999999999997,45.5,-25.129999999999995,365.42,0,66.72900205295474,996.1144797724329
1,1719481672,-29.209999999999994,45.4,-25.060000000000002,365.92,0,66.44192352406047,998.8491834016942
1,1719481673,-29.159999999999997,45.13,-24.980000000000004,366.4,0,66.21403004665562,998.7759484385992
1,1719481674,-29.060000000000002,44.77,-24.870000000000005,366.92,0,65.72227141172567,999.2439019011904
1,1719481675,-28.97,44.52,-24.75,367.4,0,65.51127772875964,1003.1288787840035
1,1719481676,-28.879999999999995,44.2,-24.680000000000007,368.0,0,64.90347225997118,1000.561170320251
1,1719481677,-28.790000000000006,43.93,-24.58,368.7,0,64.54482769530017,1001.507282883835
1,1719481678,-28.769999999999996,43.65,-24.459999999999994,369.16,0,64.70632507188759,1004.63466168037
1,1719481679,-28.659999999999997,43.25,-24.319999999999993,369.76,0,64.26072523035214,1006.3494885960718
1,1719481680,-28.58,42.63,-24.03,370.2,0,64.52052155448207,1016.7636845177744
1,1719481681,-28.480000000000004,41.65,-23.680000000000007,370.86,0,64.43263467199695,1023.039849209208
1,1719481682,-28.409999999999997,40.54,-23.379999999999995,371.36,0,63.992257914304126,1021.2940218402564
1,1719481683,-28.28,39.75,-23.049999999999997,372.0,0,63.83236993413052,1029.3360859494035
1,1719481684,-28.150000000000006,38.72,-22.730000000000004,372.5,0,63.1953690430593,1030.0291137861036
1,1719481685,-28.129999999999995,38.11,-22.689999999999998,372.92,0,62.30412695037616,1016.2250722316417
1,1719481686,-28.120000000000005,37.68,-22.689999999999998,373.44,0,61.544138732681375,1003.3468807016288
1,1719481687,-28.129999999999995,38.0,-23.049999999999997,373.84,0,60.179994986374844,979.1270530355944
1,1719481688,-28.060000000000002,38.97,-23.450000000000003,374.42,0,59.18201876240312,967.6361643866268
