epoch,epoch_utc,lat_deg,lon_deg,alt_m,pump1_I_mA,pump2_I_mA,pha_I_mA,pha_12V_V,pha_3V3_V,cpu_V_V,input_V_V,flow_SLPM,pump1_PWM,pump2_PWM,pump1_T_degC,pump2_T_degC,laser_T_degC,pcb_T_degC,inlet_T_degC,hg_275,hg_300,hg_325,hg_350,hg_375,hg_400,hg_450,hg_500,hg_550,hg_600,hg_650,hg_700,hg_750,hg_800,hg_900,hg_1000,lg_1200,lg_1400,lg_1600,lg_1800,lg_2000,lg_2500,lg_3000,lg_3500,lg_4000,lg_6000,lg_8000,lg_10000,lg_13000,lg_16000,lg_24000,lg_24000_1
[epoch],[iso8601],[deg],[deg],[m],[mA],[mA],[mA],[V],[V],[V],[V],[SLPM],[#],[#],[C],[C],[C],[C],[C],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm]
1786630312,2026-08-13T14:11:52Z,,,,322.0000,293.0000,487.0000,11.7450,3.2470,3.2990,15.1160,10.1190,150.0000,148.0000,23.8500,24.8500,24.8500,27.8500,23.8500,6425.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630316,2026-08-13T14:11:56Z,,,,307.0000,293.0000,486.0000,11.7400,3.2470,3.2990,15.1160,9.9930,150.0000,147.0000,23.8500,24.8500,23.8500,27.8500,23.8500,6425.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630322,2026-08-13T14:12:02Z,,,,315.0000,293.0000,486.0000,11.7450,3.2470,3.2970,15.1270,10.1150,149.0000,146.0000,24.8500,23.8500,24.8500,27.8500,23.8500,6425.0000,3.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630327,2026-08-13T14:12:07Z,,,,315.0000,285.0000,486.0000,11.7400,3.2440,3.2990,15.1110,9.9640,149.0000,147.0000,24.8500,23.8500,24.8500,27.8500,24.8500,6425.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630333,2026-08-13T14:12:13Z,,,,315.0000,300.0000,487.0000,11.7400,3.2460,3.2990,15.1160,10.0480,150.0000,146.0000,23.8500,24.8500,23.8500,27.8500,24.8500,6425.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630337,2026-08-13T14:12:17Z,,,,315.0000,293.0000,487.0000,11.7350,3.2490,3.3000,15.1160,9.9990,149.0000,146.0000,23.8500,23.8500,24.8500,27.8500,23.8500,6425.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630342,2026-08-13T14:12:22Z,,,,329.0000,300.0000,486.0000,11.7400,3.2490,3.2970,15.1110,9.9730,149.0000,147.0000,25.8500,24.8500,24.8500,27.8500,24.8500,6425.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630346,2026-08-13T14:12:26Z,,,,315.0000,300.0000,486.0000,11.7350,3.2470,3.2990,15.1110,10.1480,150.0000,147.0000,23.8500,25.8500,23.8500,27.8500,23.8500,6425.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630351,2026-08-13T14:12:31Z,,,,322.0000,285.0000,486.0000,11.7400,3.2470,3.2970,15.1220,9.9960,150.0000,147.0000,24.8500,24.8500,23.8500,27.8500,23.8500,6425.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630355,2026-08-13T14:12:35Z,,,,315.0000,300.0000,486.0000,11.7300,3.2490,3.2990,15.1110,10.0960,150.0000,147.0000,24.8500,25.8500,24.8500,27.8500,24.8500,6425.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
