epoch,epoch_utc,lat_deg,lon_deg,alt_m,pump1_I_mA,pump2_I_mA,pha_I_mA,pha_12V_V,pha_3V3_V,cpu_V_V,input_V_V,flow_SLPM,pump1_PWM,pump2_PWM,pump1_T_degC,pump2_T_degC,laser_T_degC,pcb_T_degC,inlet_T_degC,hg_275,hg_300,hg_325,hg_350,hg_375,hg_400,hg_450,hg_500,hg_550,hg_600,hg_650,hg_700,hg_750,hg_800,hg_900,hg_1000,lg_1200,lg_1400,lg_1600,lg_1800,lg_2000,lg_2500,lg_3000,lg_3500,lg_4000,lg_6000,lg_8000,lg_10000,lg_13000,lg_16000,lg_24000,lg_24000_1
[epoch],[iso8601],[deg],[deg],[m],[mA],[mA],[mA],[V],[V],[V],[V],[SLPM],[#],[#],[C],[C],[C],[C],[C],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm]
1786654105,2026-08-13T20:48:25Z,40.00,-105.00,1620.30,373.0000,293.0000,484.0000,11.7450,3.2440,3.2990,15.1160,9.9870,150.0000,151.0000,24.8500,24.8500,24.8500,29.8500,24.8500,12898.0000,20019.0000,13784.0000,6529.0000,1114.0000,99.0000,14.0000,2234.0000,11458.0000,673.0000,219.0000,6.0000,0.0000,0.0000,257.0000,809.0000,0.0000,0.0000,0.0000,0.0000,0.0000,443.0000,5300.0000,34.0000,92.0000,8.0000,128.0000,11.0000,8.0000,0.0000,1.0000,0.0000
1786654106,2026-08-13T20:48:26Z,,,,388.0000,307.0000,484.0000,11.7400,3.2460,3.2990,15.1110,10.0220,151.0000,152.0000,24.8500,26.8500,24.8500,29.8500,24.8500,12892.0000,19678.0000,13024.0000,6034.0000,1041.0000,117.0000,25.0000,2191.0000,10090.0000,610.0000,190.0000,1.0000,0.0000,0.0000,235.0000,717.0000,0.0000,0.0000,0.0000,0.0000,0.0000,395.0000,4736.0000,35.0000,90.0000,16.0000,155.0000,7.0000,8.0000,0.0000,1.0000,0.0000
1786654107,2026-08-13T20:48:27Z,,,,351.0000,300.0000,486.0000,11.7400,3.2460,3.2970,15.1110,10.0120,150.0000,150.0000,24.8500,25.8500,24.8500,29.8500,24.8500,12901.0000,19621.0000,13068.0000,6152.0000,1030.0000,102.0000,25.0000,2147.0000,10484.0000,649.0000,236.0000,6.0000,1.0000,0.0000,246.0000,669.0000,0.0000,0.0000,0.0000,0.0000,0.0000,354.0000,4904.0000,48.0000,108.0000,13.0000,147.0000,8.0000,7.0000,0.0000,4.0000,0.0000
1786654110,2026-08-13T20:48:30Z,,,,366.0000,307.0000,486.0000,11.7500,3.2460,3.2970,15.1000,10.0280,151.0000,150.0000,25.8500,25.8500,24.8500,29.8500,24.8500,12918.0000,19944.0000,13633.0000,6528.0000,1074.0000,116.0000,37.0000,2358.0000,11263.0000,662.0000,240.0000,3.0000,0.0000,0.0000,299.0000,785.0000,0.0000,0.0000,0.0000,0.0000,0.0000,417.0000,5340.0000,40.0000,112.0000,11.0000,151.0000,2.0000,8.0000,0.0000,1.0000,0.0000
1786654114,2026-08-13T20:48:34Z,,,,366.0000,300.0000,485.0000,11.7500,3.2470,3.2970,15.1160,10.0160,150.0000,150.0000,24.8500,25.8500,23.8500,29.8500,24.8500,12898.0000,19688.0000,13070.0000,6067.0000,1017.0000,130.0000,30.0000,2149.0000,10100.0000,582.0000,193.0000,2.0000,0.0000,0.0000,226.0000,654.0000,0.0000,0.0000,0.0000,0.0000,0.0000,348.0000,4622.0000,42.0000,132.0000,15.0000,157.0000,11.0000,6.0000,2.0000,0.0000,0.0000
1786654118,2026-08-13T20:48:38Z,,,,351.0000,300.0000,486.0000,11.7400,3.2460,3.2970,15.1110,9.9670,149.0000,150.0000,25.8500,24.8500,24.8500,29.8500,25.8500,12891.0000,19304.0000,12889.0000,5807.0000,937.0000,113.0000,22.0000,2088.0000,9657.0000,570.0000,198.0000,2.0000,0.0000,0.0000,231.0000,658.0000,0.0000,0.0000,0.0000,0.0000,0.0000,368.0000,4437.0000,42.0000,139.0000,14.0000,166.0000,13.0000,8.0000,2.0000,1.0000,0.0000
1786654122,2026-08-13T20:48:42Z,,,,351.0000,315.0000,486.0000,11.7500,3.2440,3.3020,15.1050,9.9610,151.0000,149.0000,25.8500,24.8500,24.8500,29.8500,24.8500,12897.0000,19736.0000,12975.0000,5986.0000,968.0000,150.0000,36.0000,2367.0000,10149.0000,596.0000,207.0000,4.0000,0.0000,0.0000,239.0000,704.0000,0.0000,0.0000,0.0000,0.0000,0.0000,403.0000,4776.0000,44.0000,112.0000,15.0000,157.0000,12.0000,7.0000,0.0000,0.0000,0.0000
1786654127,2026-08-13T20:48:47Z,,,,373.0000,293.0000,486.0000,11.7450,3.2490,3.2970,15.0940,9.8740,149.0000,151.0000,25.8500,24.8500,24.8500,29.8500,25.8500,12898.0000,20095.0000,13562.0000,6487.0000,1070.0000,145.0000,24.0000,2305.0000,10748.0000,658.0000,242.0000,8.0000,0.0000,0.0000,240.0000,761.0000,0.0000,0.0000,0.0000,0.0000,0.0000,443.0000,5082.0000,44.0000,98.0000,13.0000,124.0000,14.0000,5.0000,0.0000,2.0000,0.0000
1786654130,2026-08-13T20:48:50Z,,,,351.0000,300.0000,486.0000,11.7450,3.2490,3.2970,15.1000,9.9670,150.0000,150.0000,25.8500,24.8500,25.8500,29.8500,24.8500,12902.0000,19813.0000,13621.0000,6316.0000,1024.0000,139.0000,33.0000,2403.0000,10736.0000,679.0000,245.0000,6.0000,0.0000,0.0000,246.0000,843.0000,0.0000,0.0000,0.0000,0.0000,0.0000,417.0000,5308.0000,31.0000,110.0000,17.0000,145.0000,12.0000,6.0000,2.0000,5.0000,0.0000
